### mean error data for gnuplot ###
#
#time 	 pred step 	 personid 	 mean Er xy 	 stdev xy 	 mean Er th 	 stdev th
1	0		0	0	0.700467	0.3803
1	1		640.715	357.91	0.718404	0.181689
1	2		1106.48	482.557	0.770285	0.0816264
1	3		2043.22	760.527	0.976818	0.194472
1	4		3072.92	1330.46	1.12587	0.404491
1	5		4149.72	2036.23	1.23921	0.399506
1	6		5254.83	2724.33	1.2612	0.592256
1	7		6376.1	3375.34	1.20179	0.580548
1	8		7430.42	4120.33	1.07226	0.412342
2	0		0	0	0.659367	0.0457477
2	1		485.678	341.773	0.688606	0.0763153
2	2		963.434	819.85	0.886905	0.265908
2	3		1526.49	1218.53	1.02069	0.467287
2	4		2147.37	1882.7	1.15132	0.449572
2	5		2830.76	2575.8	1.13987	0.650049
2	6		3663.46	3146.9	1.07707	0.64354
2	7		4356.43	3856.22	0.960991	0.482456
2	8		5027.49	4761.6	1.05744	0.439737
3	0		0	0	0.607696	0.216199
3	1		497.241	410.831	0.721434	0.371111
3	2		1089.99	1090.15	0.903894	0.447028
3	3		1829.04	1812.48	1.04917	0.412986
3	4		2411.61	2562.42	0.901748	0.6518
3	5		3000.79	3185.75	0.873332	0.626693
3	6		3621.5	3961.24	0.865286	0.458463
3	7		4199.49	4892.04	0.858189	0.498176
3	8		4707.98	5702.79	0.852398	0.533025
4	0		0	0	0.772349	0.447917
4	1		607.815	372.883	0.911619	0.414376
4	2		1102.35	630.025	1.03949	0.356508
4	3		1446.53	858.48	0.852719	0.556675
4	4		1927.28	1123.16	0.838233	0.537801
4	5		2572.84	1356.03	0.876322	0.432784
4	6		3087.24	1762.53	0.849292	0.500989
4	7		3356.95	2050.25	0.829232	0.545771
4	8		2949.09	2064.98	0.597857	0.260701
5	0		0	0	0.847426	0.383635
5	1		306.913	202.4	0.953381	0.320814
5	2		717.271	370.435	0.831088	0.341566
5	3		1098.66	586.621	0.825962	0.352877
5	4		1277.61	823.628	0.859968	0.37346
5	5		1533.25	938.355	0.803406	0.437395
5	6		1759.26	1290.73	0.818849	0.423441
5	7		2285.76	1343.06	0.608811	0.221222
5	8		2416.98	2149.84	0.744579	0.173442
6	0		0	0	1.03056	0.274344
6	1		528.26	318.554	0.926711	0.268624
6	2		1099.8	534.353	0.927181	0.273548
6	3		1340.41	651.32	0.964624	0.308944
6	4		1710.07	1040.71	0.92897	0.355483
6	5		2083.59	1148.79	0.93835	0.342207
6	6		2856.66	1353.93	0.762466	0.178024
6	7		2619.22	647.118	0.851417	0.107662
6	8		2993.46	859.795	0.849832	0.132083
7	0		0	0	0.737885	0.332388
7	1		358.967	73.2142	0.753812	0.32654
7	2		740.128	300.011	0.849883	0.348713
7	3		1160.6	299.022	0.806219	0.400199
7	4		1581.27	459.02	0.802964	0.415065
7	5		1824.02	673.437	0.625065	0.164401
7	6		2577.3	333.56	0.801707	0.100484
7	7		3059.23	239.057	0.810044	0.0781486
7	8		3657.85	492.844	0.794655	0.151223
