### mean error data for gnuplot ###
#
#time 	 pred step 	 personid 	 mean Er xy 	 stdev xy 	 mean Er th 	 stdev th
1	0		0	0	1.48283	0.0594563
1	1		741.503	261.703	1.49835	0.0499656
1	2		1377.34	610.247	1.54954	0.147858
1	3		1889.13	1007.19	1.59566	0.134689
1	4		2663.96	1307.41	1.62199	0.230423
1	5		3391.86	1612.1	1.59025	0.273987
1	6		4063.4	1813.05	1.60198	0.224881
1	7		4790.41	2142.85	1.61696	0.212575
1	8		5520.25	2424.04	1.62723	0.234018
2	0		0	0	1.47851	0.051395
2	1		779.119	146.479	1.51467	0.114555
2	2		1527.93	375.809	1.59268	0.122264
2	3		2329.94	467.888	1.59653	0.180358
2	4		3248.66	673.562	1.56676	0.230956
2	5		3939.53	684.337	1.56337	0.167373
2	6		4857.94	793.171	1.62704	0.207547
2	7		5593.36	873.598	1.63737	0.225576
2	8		6522.75	966.469	1.67521	0.176626
3	0		0	0	1.39668	0.131379
3	1		594.245	135.555	1.42617	0.122671
3	2		1129.89	445.435	1.3244	0.203786
3	3		1847.37	515.912	1.27736	0.236969
3	4		2358.06	706.301	1.33239	0.184726
3	5		3097.28	779.055	1.36731	0.19356
3	6		3683.51	993.67	1.35221	0.213106
3	7		4365.36	1253.66	1.40716	0.19499
3	8		5144.52	1162.51	1.35572	0.197296
4	0		0	0	1.3638	0.0688675
4	1		625.637	156.628	1.23771	0.163792
4	2		1268.18	358.565	1.19739	0.149526
4	3		1822.74	550.599	1.28312	0.173679
4	4		2403.53	818.639	1.22521	0.0963445
4	5		3004.62	984.195	1.18823	0.115239
4	6		3723.79	1215.76	1.22764	0.16372
4	7		4183.51	1526.32	1.23416	0.120854
4	8		4844.61	1601.77	1.27614	0.162347
5	0		0	0	0.93484	0.466803
5	1		709.148	83.6175	0.865447	0.446742
5	2		1188.07	283.036	1.03963	0.407489
5	3		1803.93	329.394	0.985316	0.273527
5	4		2342.88	591.272	0.890322	0.35647
5	5		2946.93	929.598	0.937892	0.427076
5	6		3611.03	873.99	0.976796	0.333086
5	7		4013.86	1188.9	1.04723	0.365669
5	8		4712.83	1308	1.16914	0.438425
6	0		0	0	0.743975	0.447829
6	1		629.569	80.8393	0.964898	0.405364
6	2		1129.79	324.748	0.90887	0.242009
6	3		1771.79	484.697	0.797204	0.334439
6	4		2472.34	714.638	0.86664	0.431846
6	5		2913.57	1029.73	0.889144	0.323871
6	6		3497.42	1157.63	0.958826	0.378832
