### mean error data for gnuplot ###
#
#time 	 pred step 	 personid 	 mean Er xy 	 stdev xy 	 mean Er th 	 stdev th
1	0		0	0	0.7825	0.421118
1	1		584.22	291.61	0.838331	0.325728
1	2		1103.35	576.673	0.827142	0.296226
1	3		1759.98	925.087	0.834706	0.286861
1	4		2410.71	1261.58	0.867535	0.270737
1	5		3084.48	1695.6	0.791487	0.312209
1	6		3766.02	2093.02	0.792088	0.271564
1	7		4450.43	2442.12	0.82384	0.283366
1	8		5145.65	2799.59	0.893948	0.329665
2	0		0	0	0.844669	0.353975
2	1		450.91	234.296	0.823691	0.300977
2	2		932.384	481.559	0.836781	0.280046
2	3		1311.39	853.27	0.835678	0.284956
2	4		1698.69	1228.95	0.796153	0.320462
2	5		2294.23	1616.72	0.836632	0.325858
2	6		2857.59	1951.28	0.893732	0.472474
2	7		3424.78	2361.56	0.966446	0.519354
2	8		4139.51	2877.19	0.82691	0.38867
3	0		0	0	0.760518	0.3474
3	1		386.469	197.918	0.796186	0.279622
3	2		802.361	347.352	0.797527	0.310417
3	3		1106.5	524.2	0.765962	0.348408
3	4		1505.92	665.812	0.795527	0.303882
3	5		2022.62	951.14	0.816626	0.401501
3	6		2562.33	1289.53	0.882553	0.452454
3	7		3150.99	1762.03	0.763586	0.354621
3	8		3559.69	1934.19	0.699893	0.220899
4	0		0	0	0.788122	0.298006
4	1		371.793	218.309	0.795871	0.28542
4	2		777.103	410.663	0.779214	0.320246
4	3		1197.38	778.553	0.78404	0.325418
4	4		1663.5	1076.65	0.820912	0.373291
4	5		2138.75	1367.05	0.878695	0.428043
4	6		2676.32	1739.91	0.763849	0.32918
4	7		3080.85	2134.4	0.697035	0.203967
4	8		3714.67	2561.83	0.836085	0.429226
5	0		0	0	0.774938	0.346033
5	1		400.063	251.879	0.789289	0.334564
5	2		782.269	466.89	0.819488	0.308772
5	3		1192.51	711.51	0.843251	0.419417
5	4		1638	951.222	0.909038	0.465544
5	5		2130.49	1235.66	0.777004	0.371008
5	6		2469.21	1555.52	0.697881	0.254039
5	7		3029.74	1870.74	0.853407	0.440698
5	8		3597.46	2123.04	0.810533	0.34198
6	0		0	0	0.723584	0.417785
6	1		553.317	257.622	0.762559	0.332742
6	2		1008.62	531.432	0.775414	0.406003
6	3		1452.78	909.776	0.845431	0.445172
6	4		1905.64	1143.74	0.723115	0.349282
6	5		2219.96	1341.79	0.64419	0.278566
6	6		2692.19	1712.54	0.805893	0.47089
6	7		3110.98	2028.98	0.757394	0.37082
6	8		3555.1	2422.27	0.684929	0.255101
7	0		0	0	0.748929	0.359131
7	1		529.843	220.036	0.763993	0.339652
7	2		1031.86	481.873	0.812056	0.368688
7	3		1557.6	659.88	0.74166	0.294735
7	4		2092.04	910.997	0.690189	0.256971
7	5		2758.76	1321.97	0.79178	0.392971
7	6		3271.11	1710.91	0.767199	0.34406
7	7		3592.25	2086.18	0.708365	0.27618
7	8		4090.67	2337.08	0.750648	0.294348
8	0		0	0	0.675559	0.387752
8	1		360.937	217.766	0.730405	0.384891
8	2		674.104	405.739	0.682491	0.325185
8	3		1137.57	671.884	0.676134	0.320267
8	4		1575.14	1027.2	0.734329	0.40263
8	5		2089.93	1415.59	0.738609	0.38875
8	6		2306.7	1401.55	0.700429	0.335267
8	7		2649.56	1498.26	0.729717	0.360713
8	8		3073.76	1739.32	0.754855	0.354518
9	0		0	0	0.746394	0.370735
9	1		308.98	201.782	0.74615	0.372809
9	2		713.619	327.36	0.737642	0.382881
9	3		1086.05	575.564	0.745083	0.337668
9	4		1519.38	830.109	0.764355	0.364028
9	5		1743.04	987.383	0.73701	0.362441
9	6		2124.98	1008.59	0.771492	0.380479
9	7		2451.74	1266.82	0.798103	0.391823
9	8		2712.05	1455.57	0.709475	0.290265
10	0		0	0	0.665553	0.345739
10	1		504.114	244.166	0.653507	0.309141
10	2		935.846	474.627	0.768318	0.467762
10	3		1345.61	683.006	0.766336	0.396092
10	4		1685	883.568	0.694049	0.309437
10	5		2029.46	920.356	0.714565	0.344634
10	6		2360.01	1091	0.722209	0.350457
10	7		2568.29	912.716	0.672635	0.324277
10	8		2894.66	1026.84	0.683882	0.325997
11	0		0	0	0.624688	0.362325
11	1		483.022	238.948	0.765604	0.477983
11	2		872.522	358.621	0.764698	0.393282
11	3		1206.61	496.713	0.690481	0.28503
11	4		1571.99	645.397	0.701207	0.357093
11	5		1926.94	807.09	0.719294	0.347557
11	6		2188.62	996.252	0.672152	0.337416
11	7		2525.16	1095.53	0.665942	0.362539
11	8		3087.45	1233.63	0.68621	0.303048
12	0		0	0	0.718026	0.370578
12	1		413.285	203.256	0.774464	0.394839
12	2		771.412	409.176	0.754143	0.416529
12	3		1166.32	635.401	0.790474	0.428425
12	4		1415.5	814.242	0.812074	0.474082
12	5		1594.95	815.752	0.691317	0.357566
12	6		1765.66	859.916	0.707192	0.344302
12	7		1885.25	977.13	0.710252	0.323371
12	8		2295.04	1291.2	0.74773	0.283107
13	0		0	0	0.76975	0.399102
13	1		493.748	336.85	0.737246	0.376022
13	2		1023.92	660.287	0.777339	0.382817
13	3		1388.37	867.671	0.797061	0.410274
13	4		1594.11	1067.21	0.708053	0.335124
13	5		1908.83	1190	0.719385	0.335838
13	6		2339.95	1509.98	0.724014	0.31308
13	7		2877.71	1805.94	0.758852	0.27265
13	8		3542.55	2163.23	0.791306	0.307015
14	0		0	0	0.685208	0.377131
14	1		566.138	266.351	0.745704	0.354432
14	2		953.51	371.986	0.737634	0.398647
14	3		1246.7	410.182	0.675368	0.363345
14	4		1626.01	504.213	0.6956	0.344827
14	5		1967.79	637.032	0.683178	0.347299
14	6		2361.63	979.716	0.722253	0.319191
14	7		2631.98	1362.7	0.749462	0.345917
14	8		3305.18	1905.49	0.806609	0.371322
15	0		0	0	0.696373	0.429865
15	1		452.584	395.531	0.854936	0.557392
15	2		989.912	796.653	0.799144	0.52429
15	3		1405.59	1173.72	0.811471	0.547792
15	4		1868.51	1570.82	0.838777	0.558733
15	5		2400.98	1912.95	0.836712	0.517362
15	6		2866.19	2395.73	0.871211	0.562577
